description,key,name,scientific_name,type,wikipedia_url,degrades_to,precursors,subtype,cas_number,chemical_formula,molar_mass,density,boiling_point,image_url,chemical_formula_image_url
,delta_9_thc,Delta-9 THC,Δ-9-Tetrahydrocannabinol,cannabinoid,https://en.wikipedia.org/wiki/Tetrahydrocannabinol,[],['thca'],,,C21H30O2,314.469,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/cannabinoids/delta_9_thc.png,
"Tetrahydrocannabinolic acid (THCA, 2-COOH-THC; conjugate base tetrahydrocannabinolate) is a precursor of tetrahydrocannabinol (THC), an active component of cannabis.THCA is found in variable quantities in fresh, undried cannabis, but is progressively decarboxylated to THC with drying, and especially under intense heating such as when cannabis is smoked or cooked into cannabis edibles. THCA is often the majority constituent in cannabis resin concentrates, such as hashish and hash oil, when prepared from high-THC cannabis fresh plant material, frequently comprising between 50% and 90% by weight.",thca,THCA,Tetrahydrocannabinolic acid,cannabinoid,https://en.wikipedia.org/wiki/Tetrahydrocannabinolic_acid,['delta_9_thc'],[],,,C22H30O4,358.478,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/cannabinoids/thca.png,
"Δ-8-tetrahydrocannabinol (delta-8-THC, Δ8-THC) is a psychoactive cannabinoid found in the Cannabis plant.",delta_8_thc,Delta-8 THC,Δ-8-Tetrahydrocannabinol,cannabinoid,https://en.wikipedia.org/wiki/Delta-8-Tetrahydrocannabinol,[],[],,,C21H30O2,314.5,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/cannabinoids/delta_8_thc.png,
"Tetrahydrocannabivarin (THCV, THV, O-4394, GWP42004) is a homologue of tetrahydrocannabinol (THC) having a propyl (3-carbon) side chain instead of pentyl (5-carbon), making it non-psychoactive in lower doses. It has been shown to exhibit neuroprotective activity, appetite suppression, glycemic control and reduced side effects compared to THC, making it a potential treatment for management of obesity and diabetes.",thcv,THCV,Tetrahydrocannabivarin,cannabinoid,https://en.wikipedia.org/wiki/Tetrahydrocannabivarin,[],['thcva'],,,C19H26O2,286.415,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/cannabinoids/thcv.png,
,thcva,THCVA,Tetrahydrocannabivarinic acid,cannabinoid,https://en.wikipedia.org/wiki/Tetrahydrocannabivarinic_acid,['thcv'],[],,,,,,,,
"Cannabigerol (CBG) is one of more than 120 identified cannabinoid compounds found in the plant genus Cannabis. Cannabigerol is the decarboxylated form of cannabigerolic acid, the parent molecule from which other cannabinoids are synthesized.Cannabigerol is normally a minor constituent of cannabis. During plant growth, most of the cannabigerol is converted into other cannabinoids, primarily tetrahydrocannabinol (THC) or cannabidiol (CBD), leaving about 1% cannabigerol in the plant.",cbg,CBG,Cannabigerol,cannabinoid,https://en.wikipedia.org/wiki/Cannabigerol,[],['cbga'],,,C21H32O2,316.485,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/cannabinoids/cbg.png,
"Cannabigerolic acid (CBGA) is the acidic form of cannabigerol (CBG). It is a dihydroxybenzoic acid and olivetolic acid in which the hydrogen at position 3 is substituted by a geranyl group. It is a biosynthetic precursor to Delta-9-tetrahydrocannabinol, which is the principal psychoactive constituent of the Cannabis plant.",cbga,CBGA,Cannabigerolic acid,cannabinoid,https://en.wikipedia.org/wiki/Cannabigerolic_acid,['cbg'],[],,,C22H32O4,360.494,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/cannabinoids/cbga.png,
"Cannabinol (CBN) is a mildly psychoactive cannabinoid that acts as a low affinity partial agonist at both CB1 and CB2 receptors. This activity at CB1 and CB2 receptors constitutes interaction of CBN with the endocannabinoid system (ECS).
CBN was the first cannabis compound to be isolated from cannabis extract in the late 1800s.",cbn,CBN,Cannabinol,cannabinoid,https://en.wikipedia.org/wiki/Cannabinol,[],[],,,C21H26O2,310.437,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/cannabinoids/cbn.png,
"Cannabidivarin (CBDV, GWP42006) is a non-intoxicating psychoactive cannabinoid found in Cannabis. It is a homolog (chemistry) of cannabidiol (CBD), with the side-chain shortened by two methylene bridges (CH2 units).
Although cannabidivarin (CBDV) is usually a minor constituent of the cannabinoid profile, enhanced levels of CBDV have been reported in feral populations of C. indica  ( = C. sativa ssp.",cbdv,CBDV,Cannabidivarin,cannabinoid,https://en.wikipedia.org/wiki/Cannabidivarin,[],['cbdva'],,,C19H26O2,286.415,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/cannabinoids/cbdv.png,
,cbdva,Cannabidivarinic acid (CBDVA),,cannabinoid,https://en.wikipedia.org/wiki/Cannabidivarinic_acid,['cbdv'],[],,,,,,,,
