ScientificName,Kingdom,Phylum,Class,Order,Family,Genus,Species,EarliestRecord,LatestRecord,CountryCodes
Cannabis sativa L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1600,2022,"SY, SN, LU, GA, PA, FI, BR, LV, KG, RS, NG, UZ, LI, CD, BG, GF, SI, KE, BF, BI, CA, NP, ID, CI, BL, MW, BY, BE, CY, TR, CM, VE, RU, AO, HT, AT, IE, CO, ST, TZ, TT, NZ, LT, PH, SD, KZ, AL, ZZ, TJ, JP, EG, CL, VG, AZ, PL, HU, GR, MN, CR, MY, PG, GH, VU, GB, IT, AM, JM, NO, IL, HN, PE, UA, US, BT, AF, MU, DE, SE, BJ, GL, ES, ZA, MD, KP, JE, AU, AR, DZ, EE, CV, IS, SL, LA, LK, SV, PK, IR, MM, SK, RO, CZ, LS, HR, MG, KH, GT, FR, PT, CH, IN, RE, KR, CN, NL, LY, ET, BO, TH, BD, GQ, PY, VN, ER, GE, MZ, CG, LB, YT, TW, NC, PR, MX, MA, DK, NA"
Celtis berteroana Urb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis berteroana,1923,1982,CU
Celtis occidentalis var. cordata (Pers.) Willd.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,1925,2008,"ZZ, NO, NL"
Chaetachme aristata Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Chaetachme,Chaetachme aristata,1837,2022,"BF, MG, ZA, NG, ZM, US, SZ, BJ, ZZ, GQ, CG, AO, UG, CD, CF, GH, SD, CM, RW, MZ, KE, CI, TZ, ZW"
Sponia nudiflora Siebold & Zucc.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe aspera,,,JP
"Celtis reticulata Boorsma, 1907",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis reticulata,1850,2022,"US, MX"
Celtis rigescens (Miq.) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis rigescens,1895,2013,"ZZ, MY, ID, PH, PG, SB"
Celtis helleri Small,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis lindheimeri,1873,1932,US
Gironniera parvifolia Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera parvifolia,1854,2016,"TH, MY, SG, ID, LK, ZZ, BN"
Celtis macrophylla Kunth,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,,,VE
Celtis taiyuanensis E.W.Ma,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis cerasifera,1929,1961,CN
Trema orientalis var. amboinensis (Blume) Lauterb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,1933,1981,"MP, IN, PW"
Celtis selloviana Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1942,1998,"BR, NL"
Trema integrifolia Baill.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis gomphophylla,1993,1993,EC
Trema canescens (Kunth) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1903,1946,"MX, GT, NI, PA, CR"
Celtis conferta Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis conferta,1861,2019,"TO, ZZ, NC"
Gironniera celtidifolia Gaudich.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera celtidifolia,1841,2016,"ID, PH, WS, ZZ, SB, NZ, PW, US, PG, FM, MY, FJ, TW"
Celtis spinosa Spreng.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis spinosa,1833,2021,"UY, AR, PY, BR, MX, ZZ, US, BO"
Mirandaceltis Sharp,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,,1973,2001,"MX, HN"
Celtis occidentalis f. pumila (Pursh) F.Seym.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,1904,1921,US
"Canabis Roth, 1788",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Canabis,,,,BR
Pteroceltis tatarinowii var. pubescens Hand.-Mazz.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Pteroceltis,Pteroceltis tatarinowii,1930,1930,CN
Celtis glomerata Hochst.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,1839,1839,ZA
Gironniera nitida Benth.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe cuspidata,1906,1973,"CN, NC"
Sponia timorensis (Blume) Kurz,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,,,TL
Humulus lupulus var. lupulus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1892,2021,"AM, DE, CA, RS, GE, RU, JP, AL, NZ, US, ZZ, PL"
Celtis aristata E.Mey. ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Chaetachme,Chaetachme aristata,,,ZA
Celtis tala f. subtomentosa Kuntze,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1873,1991,"AR, US"
